ticker_id,Max Slots,L-14.6,L-23.6,L-38.2,L-50.0,L-61.8,Slots L-14.6,Slots L-23.6,Slots L-38.2,Slots L-50.0,Slots L-61.8,Use Smrt Index Exit,Exit Level,Use AYM,AYM TP Multiplier,AYM Limit,Use ATR,ATR Distance,Use Stoploss,Stoploss Level,Sys ROI,B&H ROI,ROI Margin,# of Trades,Win Rate,Max Drawdown,Avg. Adverse Excursion,Avg. Favorable Excursion,Annual CAGR,Avg. Return/Trade,Avg Bars/Trade,Model,OOS Margin,OOS Win Rate,OOS Trades
ALCN,1,True,False,True,False,False,1.0,,1.0,,,False,,True,3.0,88.6,True,2.0,False,,7487.73,14528.51,-7040.78,27,100.00,88.23,-10.0,20.0,35.0,10.0,151.6,PSI-40,45.29381456953637,100,8
ALEX,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,50,True,3.0,False,,2439.55,187.23,2252.32,2,100.00,62.85,-10.0,20.0,35.0,10.0,13.0,PSI-40,542.487512820513,100,3
ALUM,1,True,True,False,False,True,1.0,1.0,,,1.0,False,,True,2.0,88.6,True,6.0,False,,310.51,1048.30,-737.79,5,100.00,93.60,-10.0,20.0,35.0,10.0,808.4,PSI-40,36.417749445676264,100,3
AMER,1,False,True,False,False,False,,1.0,,,,False,,True,5.0,88.6,False,,False,,-74.49,-75.74,1.24,1,0.00,92.98,-10.0,20.0,35.0,10.0,3370.0,PSI-40,140.920894736842,100,2
AMES,1,False,True,True,False,False,,1.0,1.0,,,False,,True,7.0,88.6,True,5.0,False,,1304.16,1354.37,-50.22,10,100.00,85.80,-10.0,20.0,35.0,10.0,337.3,PSI-40,319.014973791908,100,4
AMIA,1,True,True,True,False,False,1.0,1.0,1.0,,,False,,True,2.0,88.6,True,6.0,False,,39.89,563.37,-523.48,3,100.00,86.10,-10.0,20.0,35.0,10.0,1184.0,PSI-40,132.18491967871483,100,5
AMII,1,False,False,True,False,False,,,1.0,,,False,,True,2.0,78.6,True,3.0,False,,604.51,549.92,54.60,6,100.00,89.39,-10.0,20.0,35.0,10.0,579.5,PSI-40,121.18838095238107,100,5
AMOC,1,True,True,False,True,False,1.0,1.0,,1.0,,False,,True,2.0,50,True,5.0,False,,65.59,45.04,20.55,9,100.00,87.63,-10.0,20.0,35.0,10.0,510.7,PSI-40,31.30358156028366,100,5
AMPI,1,True,False,False,False,False,1.0,,,,,False,,True,3.0,88.6,True,6.0,False,,59.25,-33.00,92.26,3,100.00,94.76,-10.0,20.0,35.0,10.0,1045.3,PSI-40,22.519055741360084,100,2
APPC,1,True,False,False,False,False,1.0,,,,,False,,True,3.0,88.6,True,3.0,False,,-16.79,-35.88,19.09,1,0.00,51.05,-10.0,20.0,35.0,10.0,298.0,PSI-40,48.62529969418959,100,3
APSW,1,True,True,False,False,False,1.0,1.0,,,,False,,True,2.0,50,True,2.0,False,,50.90,-11.77,62.66,5,100.00,86.87,-10.0,20.0,35.0,10.0,902.8,PSI-40,24.597476190476183,100,4
ARAB,1,True,False,False,True,False,1.0,,,1.0,,False,,True,3.0,88.6,True,6.0,False,,29.63,95.69,-66.06,3,100.00,83.90,-10.0,20.0,35.0,10.0,728.7,PSI-40,37.29531071788395,100,3
ARCC,1,True,True,False,False,False,1.0,1.0,,,,False,,True,2.0,61.8,True,6.0,False,,34.44,750.00,-715.56,3,100.00,88.07,-10.0,20.0,35.0,10.0,810.3,PSI-40,168.51141222879687,100,4
AREH,1,False,True,False,False,False,,1.0,,,,False,,True,2.0,88.6,True,6.0,False,,-45.96,-9.23,-36.73,6,100.00,90.93,-10.0,20.0,35.0,10.0,653.3,PSI-40,134.275559155621,100,3
ASCM,1,True,False,False,False,False,1.0,,,,,False,,True,4.0,88.6,True,6.0,False,,-38.72,8094.08,-8132.80,2,100.00,96.36,-10.0,20.0,35.0,10.0,2073.5,PSI-40,35.347862950058015,100,3
ASPI,1,True,True,False,True,False,1.0,1.0,,1.0,,False,,True,2.0,88.6,True,5.0,False,,4559.94,3645.40,914.54,5,100.00,89.13,-10.0,20.0,35.0,10.0,785.8,PSI-40,79.86095343002071,100,5
ATLC,1,False,False,True,False,False,,,1.0,,,False,,True,2.0,88.6,True,3.0,False,,-8.82,-8.83,0.01,3,100.00,65.20,-10.0,20.0,35.0,10.0,558.7,PSI-40,93.2575011704727,100,7
ATQA,1,True,False,True,False,False,1.0,,1.0,,,False,,True,3.0,88.6,True,2.0,False,,2680.56,4027.99,-1347.44,17,100.00,83.67,-10.0,20.0,35.0,10.0,148.8,PSI-40,24.763112801013904,100,6
AXPH,1,True,False,True,True,False,1.0,,1.0,1.0,,False,,True,2.0,88.6,True,5.0,False,,1896.87,903.13,993.74,24,100.00,60.76,-10.0,20.0,35.0,10.0,182.0,PSI-40,-59.915120167189144,100,2
BIDI,1,False,True,False,False,False,,1.0,,,,False,,True,3.0,61.8,True,3.0,False,,-69.51,-65.09,-4.42,2,100.00,95.65,-10.0,20.0,35.0,10.0,1478.5,PSI-40,-0.8973376623376694,0,1
BIGP,1,True,True,False,False,False,1.0,1.0,,,,False,,True,2.0,50,True,2.0,False,,-75.28,-76.77,1.50,2,100.00,94.81,-10.0,20.0,35.0,10.0,1579.0,PSI-40,86.3292367816092,100,6
BINV,1,True,False,False,False,False,1.0,,,,,False,,True,4.0,88.6,True,4.0,False,,220.69,398.00,-177.31,7,100.00,58.19,-10.0,20.0,35.0,10.0,209.1,PSI-40,88.78219448860628,100,3
BIOC,1,True,True,False,False,False,1.0,1.0,,,,False,,True,2.0,50,False,,False,,244.54,224.91,19.63,2,100.00,76.54,-10.0,20.0,35.0,10.0,1498.5,PSI-40,88.11227444624569,100,2
BTFH,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,88.6,True,2.0,False,,202.51,1065.97,-863.46,14,100.00,91.26,-10.0,20.0,35.0,10.0,166.1,PSI-40,50.76434141576037,100,8
CAED,1,False,True,False,False,False,,1.0,,,,False,,True,6.0,78.6,False,,False,,2635.74,1554.96,1080.78,4,100.00,56.86,-10.0,20.0,35.0,10.0,792.8,PSI-40,102.60813228894693,100,2
CANA,1,False,True,False,False,False,,1.0,,,,False,,True,2.0,88.6,True,6.0,False,,712.19,614.93,97.26,6,100.00,91.29,-10.0,20.0,35.0,10.0,751.5,PSI-40,68.55286024964352,100,4
CCAP,1,False,True,False,False,False,,1.0,,,,False,,True,2.0,88.6,True,6.0,False,,-76.41,-83.18,6.78,1,0.00,93.40,-10.0,20.0,35.0,10.0,3626.0,PSI-40,47.5987067238913,100,4
